#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
11/10/2023 10:48:09,088000,0.123
11/10/2023 10:48:09,089000,0.123
11/10/2023 10:48:09,090000,0.123
11/10/2023 10:48:09,091000,0.123
11/10/2023 10:48:09,092000,0.123
11/10/2023 10:48:09,093000,0.123
11/10/2023 10:48:09,094000,0.123
11/10/2023 10:48:09,095000,0.123
11/10/2023 10:48:09,096000,0.123
11/10/2023 10:48:09,097000,0.123
11/10/2023 10:48:09,098000,0.123
11/10/2023 10:48:09,099000,0.123
11/10/2023 10:48:09,100000,0.123
11/10/2023 10:48:09,101000,0.123
11/10/2023 10:48:09,102000,0.123
11/10/2023 10:48:09,103000,0.123
11/10/2023 10:48:09,104000,0.123
11/10/2023 10:48:09,105000,0.123
11/10/2023 10:48:09,106000,0.123
11/10/2023 10:48:09,107000,0.123
11/10/2023 10:48:09,108000,0.123
11/10/2023 10:48:09,109000,0.123
11/10/2023 10:48:09,110000,0.123
11/10/2023 10:48:09,111000,0.123
11/10/2023 10:48:09,112000,0.123
11/10/2023 10:48:09,113000,0.123
11/10/2023 10:48:09,114000,0.123
11/10/2023 10:48:09,115000,0.123
11/10/2023 10:48:09,116000,0.123
11/10/2023 10:48:09,117000,0.123
11/10/2023 10:48:09,118000,0.123
11/10/2023 10:48:09,119000,0.123
11/10/2023 10:48:09,120000,0.123
11/10/2023 10:48:09,121000,0.123
11/10/2023 10:48:09,122000,0.123
11/10/2023 10:48:09,123000,0.123
11/10/2023 10:48:09,124000,0.123
11/10/2023 10:48:09,125000,0.123
11/10/2023 10:48:09,126000,0.123
11/10/2023 10:48:09,127000,0.123
11/10/2023 10:48:09,128000,0.123
11/10/2023 10:48:09,129000,0.123
11/10/2023 10:48:09,130000,0.123
11/10/2023 10:48:09,131000,0.123
11/10/2023 10:48:09,132000,0.123
11/10/2023 10:48:09,133000,0.123
11/10/2023 10:48:09,134000,0.123
11/10/2023 10:48:09,135000,0.123
11/10/2023 10:48:09,136000,0.123
11/10/2023 10:48:09,137000,0.123
11/10/2023 10:48:09,138000,0.123
11/10/2023 10:48:09,139000,0.123
11/10/2023 10:48:09,140000,0.123
11/10/2023 10:48:09,141000,0.123
11/10/2023 10:48:09,142000,0.123
11/10/2023 10:48:09,143000,0.123
11/10/2023 10:48:09,144000,0.123
11/10/2023 10:48:09,145000,0.123
11/10/2023 10:48:09,146000,0.123
11/10/2023 10:48:09,147000,0.124
11/10/2023 10:48:09,148000,0.124
11/10/2023 10:48:09,149000,0.124
11/10/2023 10:48:09,150000,0.124
11/10/2023 10:48:09,151000,0.124
11/10/2023 10:48:09,152000,0.124
11/10/2023 10:48:09,153000,0.124
11/10/2023 10:48:09,154000,0.124
11/10/2023 10:48:09,155000,0.124
11/10/2023 10:48:09,156000,0.124
11/10/2023 10:48:09,157000,0.124
11/10/2023 10:48:09,158000,0.124
11/10/2023 10:48:09,159000,0.124
11/10/2023 10:48:09,160000,0.124
11/10/2023 10:48:09,161000,0.124
11/10/2023 10:48:09,162000,0.124
11/10/2023 10:48:09,163000,0.124
11/10/2023 10:48:09,164000,0.124
11/10/2023 10:48:09,165000,0.124
11/10/2023 10:48:09,166000,0.124
11/10/2023 10:48:09,167000,0.124
11/10/2023 10:48:09,168000,0.124
11/10/2023 10:48:09,169000,0.124
11/10/2023 10:48:09,170000,0.124
11/10/2023 10:48:09,171000,0.124
11/10/2023 10:48:09,172000,0.124
11/10/2023 10:48:09,173000,0.124
11/10/2023 10:48:09,174000,0.124
11/10/2023 10:48:09,175000,0.124
11/10/2023 10:48:09,176000,0.124
11/10/2023 10:48:09,177000,0.124
11/10/2023 10:48:09,178000,0.124
11/10/2023 10:48:09,179000,0.124
11/10/2023 10:48:09,180000,0.124
11/10/2023 10:48:09,181000,0.124
11/10/2023 10:48:09,182000,0.124
11/10/2023 10:48:09,183000,0.124
11/10/2023 10:48:09,184000,0.124
11/10/2023 10:48:09,185000,0.124
11/10/2023 10:48:09,186000,0.124
11/10/2023 10:48:09,187000,0.124
11/10/2023 10:48:09,188000,0.124
11/10/2023 10:48:09,189000,0.124
11/10/2023 10:48:09,190000,0.124
11/10/2023 10:48:09,191000,0.124
11/10/2023 10:48:09,192000,0.124
11/10/2023 10:48:09,193000,0.124
11/10/2023 10:48:09,194000,0.124
11/10/2023 10:48:09,195000,0.124
11/10/2023 10:48:09,196000,0.124
11/10/2023 10:48:09,197000,0.124
11/10/2023 10:48:09,198000,0.124
11/10/2023 10:48:09,199000,0.124
11/10/2023 10:48:09,200000,0.124
11/10/2023 10:48:09,201000,0.124
11/10/2023 10:48:09,202000,0.124
11/10/2023 10:48:09,203000,0.124
11/10/2023 10:48:09,204000,0.124
11/10/2023 10:48:09,205000,0.124
11/10/2023 10:48:09,206000,0.124
11/10/2023 10:48:09,207000,0.124
11/10/2023 10:48:09,208000,0.124
11/10/2023 10:48:09,209000,0.124
11/10/2023 10:48:09,210000,0.124
11/10/2023 10:48:09,211000,0.124
11/10/2023 10:48:09,212000,0.124
11/10/2023 10:48:09,213000,0.124
11/10/2023 10:48:09,214000,0.124
11/10/2023 10:48:09,215000,0.124
11/10/2023 10:48:09,216000,0.124
11/10/2023 10:48:09,217000,0.124
11/10/2023 10:48:09,218000,0.124
11/10/2023 10:48:09,219000,0.124
11/10/2023 10:48:09,220000,0.124
11/10/2023 10:48:09,221000,0.124
11/10/2023 10:48:09,222000,0.124
11/10/2023 10:48:09,223000,0.124
11/10/2023 10:48:09,224000,0.124
11/10/2023 10:48:09,225000,0.124
11/10/2023 10:48:09,226000,0.124
11/10/2023 10:48:09,227000,0.124
11/10/2023 10:48:09,228000,0.124
11/10/2023 10:48:09,229000,0.124
11/10/2023 10:48:09,230000,0.124
11/10/2023 10:48:09,231000,0.124
11/10/2023 10:48:09,232000,0.124
11/10/2023 10:48:09,233000,0.124
11/10/2023 10:48:09,234000,0.124
11/10/2023 10:48:09,235000,0.124
11/10/2023 10:48:09,236000,0.124
11/10/2023 10:48:09,237000,0.124
11/10/2023 10:48:09,238000,0.124
11/10/2023 10:48:09,239000,0.124
11/10/2023 10:48:09,240000,0.124
11/10/2023 10:48:09,241000,0.124
11/10/2023 10:48:09,242000,0.124
11/10/2023 10:48:09,243000,0.124
11/10/2023 10:48:09,244000,0.124
11/10/2023 10:48:09,245000,0.124
11/10/2023 10:48:09,246000,0.124
11/10/2023 10:48:09,247000,0.124
11/10/2023 10:48:09,248000,0.124
11/10/2023 10:48:09,249000,0.124
11/10/2023 10:48:09,250000,0.124
11/10/2023 10:48:09,251000,0.124
11/10/2023 10:48:09,252000,0.124
11/10/2023 10:48:09,253000,0.124
11/10/2023 10:48:09,254000,0.124
11/10/2023 10:48:09,255000,0.124
11/10/2023 10:48:09,256000,0.124
11/10/2023 10:48:09,257000,0.124
11/10/2023 10:48:09,258000,0.124
11/10/2023 10:48:09,259000,0.124
11/10/2023 10:48:09,260000,0.124
11/10/2023 10:48:09,261000,0.124
11/10/2023 10:48:09,262000,0.124
11/10/2023 10:48:09,263000,0.124
11/10/2023 10:48:09,264000,0.124
11/10/2023 10:48:09,265000,0.124
11/10/2023 10:48:09,266000,0.124
11/10/2023 10:48:09,267000,0.124
11/10/2023 10:48:09,268000,0.124
11/10/2023 10:48:09,269000,0.124
11/10/2023 10:48:09,270000,0.124
11/10/2023 10:48:09,271000,0.124
11/10/2023 10:48:09,272000,0.124
11/10/2023 10:48:09,273000,0.124
11/10/2023 10:48:09,274000,0.124
11/10/2023 10:48:09,275000,0.124
11/10/2023 10:48:09,276000,0.124
11/10/2023 10:48:09,277000,0.124
11/10/2023 10:48:09,278000,0.124
11/10/2023 10:48:09,279000,0.124
11/10/2023 10:48:09,280000,0.124
11/10/2023 10:48:09,281000,0.124
11/10/2023 10:48:09,282000,0.124
11/10/2023 10:48:09,283000,0.124
11/10/2023 10:48:09,284000,0.124
11/10/2023 10:48:09,285000,0.124
11/10/2023 10:48:09,286000,0.124
11/10/2023 10:48:09,287000,0.124
11/10/2023 10:48:09,288000,0.124
11/10/2023 10:48:09,289000,0.124
11/10/2023 10:48:09,290000,0.124
11/10/2023 10:48:09,291000,0.124
11/10/2023 10:48:09,292000,0.124
11/10/2023 10:48:09,293000,0.124
11/10/2023 10:48:09,294000,0.124
11/10/2023 10:48:09,295000,0.124
11/10/2023 10:48:09,296000,0.124
11/10/2023 10:48:09,297000,0.124
11/10/2023 10:48:09,298000,0.124
11/10/2023 10:48:09,299000,0.124
11/10/2023 10:48:09,300000,0.124
11/10/2023 10:48:09,301000,0.124
11/10/2023 10:48:09,302000,0.124
11/10/2023 10:48:09,303000,0.124
11/10/2023 10:48:09,304000,0.124
11/10/2023 10:48:09,305000,0.124
11/10/2023 10:48:09,306000,0.124
11/10/2023 10:48:09,307000,0.124
11/10/2023 10:48:09,308000,0.124
11/10/2023 10:48:09,309000,0.124
11/10/2023 10:48:09,310000,0.124
11/10/2023 10:48:09,311000,0.124
11/10/2023 10:48:09,312000,0.124
11/10/2023 10:48:09,313000,0.124
11/10/2023 10:48:09,314000,0.124
11/10/2023 10:48:09,315000,0.124
11/10/2023 10:48:09,316000,0.124
11/10/2023 10:48:09,317000,0.124
11/10/2023 10:48:09,318000,0.124
11/10/2023 10:48:09,319000,0.124
11/10/2023 10:48:09,320000,0.124
11/10/2023 10:48:09,321000,0.124
11/10/2023 10:48:09,322000,0.124
11/10/2023 10:48:09,323000,0.124
11/10/2023 10:48:09,324000,0.124
11/10/2023 10:48:09,325000,0.124
11/10/2023 10:48:09,326000,0.124
11/10/2023 10:48:09,327000,0.124
11/10/2023 10:48:09,328000,0.124
11/10/2023 10:48:09,329000,0.124
11/10/2023 10:48:09,330000,0.124
11/10/2023 10:48:09,331000,0.124
11/10/2023 10:48:09,332000,0.124
11/10/2023 10:48:09,333000,0.124
11/10/2023 10:48:09,334000,0.124
11/10/2023 10:48:09,335000,0.124
11/10/2023 10:48:09,336000,0.124
11/10/2023 10:48:09,337000,0.124
11/10/2023 10:48:09,338000,0.124
11/10/2023 10:48:09,339000,0.124
11/10/2023 10:48:09,340000,0.124
11/10/2023 10:48:09,341000,0.124
11/10/2023 10:48:09,342000,0.124
11/10/2023 10:48:09,343000,0.124
11/10/2023 10:48:09,344000,0.124
11/10/2023 10:48:09,345000,0.124
11/10/2023 10:48:09,346000,0.124
11/10/2023 10:48:09,347000,0.124
11/10/2023 10:48:09,348000,0.124
11/10/2023 10:48:09,349000,0.124
11/10/2023 10:48:09,350000,0.124
11/10/2023 10:48:09,351000,0.124
11/10/2023 10:48:09,352000,0.124
11/10/2023 10:48:09,353000,0.124
11/10/2023 10:48:09,354000,0.124
11/10/2023 10:48:09,355000,0.124
11/10/2023 10:48:09,356000,0.124
11/10/2023 10:48:09,357000,0.124
11/10/2023 10:48:09,358000,0.124
11/10/2023 10:48:09,359000,0.124
11/10/2023 10:48:09,360000,0.124
11/10/2023 10:48:09,361000,0.124
11/10/2023 10:48:09,362000,0.124
11/10/2023 10:48:09,363000,0.124
11/10/2023 10:48:09,364000,0.124
11/10/2023 10:48:09,365000,0.124
11/10/2023 10:48:09,366000,0.124
11/10/2023 10:48:09,367000,0.124
11/10/2023 10:48:09,368000,0.124
11/10/2023 10:48:09,369000,0.124
11/10/2023 10:48:09,370000,0.124
11/10/2023 10:48:09,371000,0.124
11/10/2023 10:48:09,372000,0.124
11/10/2023 10:48:09,373000,0.124
11/10/2023 10:48:09,374000,0.124
11/10/2023 10:48:09,375000,0.124
11/10/2023 10:48:09,376000,0.124
11/10/2023 10:48:09,377000,0.124
11/10/2023 10:48:09,378000,0.124
11/10/2023 10:48:09,379000,0.124
11/10/2023 10:48:09,380000,0.124
11/10/2023 10:48:09,381000,0.124
11/10/2023 10:48:09,382000,0.124
11/10/2023 10:48:09,383000,0.124
11/10/2023 10:48:09,384000,0.124
11/10/2023 10:48:09,385000,0.124
11/10/2023 10:48:09,386000,0.124
11/10/2023 10:48:09,387000,0.124
11/10/2023 10:48:09,388000,0.124
11/10/2023 10:48:09,389000,0.124
11/10/2023 10:48:09,390000,0.124
11/10/2023 10:48:09,391000,0.124
11/10/2023 10:48:09,392000,0.124
11/10/2023 10:48:09,393000,0.124
11/10/2023 10:48:09,394000,0.124
11/10/2023 10:48:09,395000,0.124
11/10/2023 10:48:09,396000,0.124
11/10/2023 10:48:09,397000,0.124
11/10/2023 10:48:09,398000,0.124
11/10/2023 10:48:09,399000,0.124
11/10/2023 10:48:09,400000,0.124
11/10/2023 10:48:09,401000,0.124
11/10/2023 10:48:09,402000,0.124
11/10/2023 10:48:09,403000,0.124
11/10/2023 10:48:09,404000,0.124
11/10/2023 10:48:09,405000,0.124
11/10/2023 10:48:09,406000,0.124
11/10/2023 10:48:09,407000,0.124
11/10/2023 10:48:09,408000,0.124
11/10/2023 10:48:09,409000,0.124
11/10/2023 10:48:09,410000,0.124
11/10/2023 10:48:09,411000,0.124
11/10/2023 10:48:09,412000,0.123
11/10/2023 10:48:09,413000,0.123
11/10/2023 10:48:09,414000,0.123
11/10/2023 10:48:09,415000,0.123
11/10/2023 10:48:09,416000,0.123
11/10/2023 10:48:09,417000,0.123
11/10/2023 10:48:09,418000,0.123
11/10/2023 10:48:09,419000,0.123
11/10/2023 10:48:09,420000,0.123
11/10/2023 10:48:09,421000,0.123
11/10/2023 10:48:09,422000,0.123
11/10/2023 10:48:09,423000,0.123
11/10/2023 10:48:09,424000,0.123
11/10/2023 10:48:09,425000,0.123
11/10/2023 10:48:09,426000,0.123
11/10/2023 10:48:09,427000,0.123
11/10/2023 10:48:09,428000,0.123
11/10/2023 10:48:09,429000,0.123
11/10/2023 10:48:09,430000,0.124
11/10/2023 10:48:09,431000,0.124
11/10/2023 10:48:09,432000,0.123
11/10/2023 10:48:09,433000,0.123
11/10/2023 10:48:09,434000,0.123
11/10/2023 10:48:09,435000,0.123
11/10/2023 10:48:09,436000,0.123
11/10/2023 10:48:09,437000,0.123
11/10/2023 10:48:09,438000,0.123
11/10/2023 10:48:09,439000,0.123
11/10/2023 10:48:09,440000,0.123
11/10/2023 10:48:09,441000,0.123
11/10/2023 10:48:09,442000,0.124
11/10/2023 10:48:09,443000,0.124
11/10/2023 10:48:09,444000,0.124
11/10/2023 10:48:09,445000,0.124
11/10/2023 10:48:09,446000,0.124
11/10/2023 10:48:09,447000,0.124
11/10/2023 10:48:09,448000,0.124
11/10/2023 10:48:09,449000,0.124
11/10/2023 10:48:09,450000,0.124
11/10/2023 10:48:09,451000,0.124
11/10/2023 10:48:09,452000,0.124
11/10/2023 10:48:09,453000,0.124
11/10/2023 10:48:09,454000,0.124
11/10/2023 10:48:09,455000,0.124
11/10/2023 10:48:09,456000,0.124
11/10/2023 10:48:09,457000,0.124
11/10/2023 10:48:09,458000,0.123
11/10/2023 10:48:09,459000,0.123
11/10/2023 10:48:09,460000,0.123
11/10/2023 10:48:09,461000,0.123
11/10/2023 10:48:09,462000,0.123
11/10/2023 10:48:09,463000,0.123
11/10/2023 10:48:09,464000,0.123
11/10/2023 10:48:09,465000,0.123
11/10/2023 10:48:09,466000,0.123
11/10/2023 10:48:09,467000,0.123
11/10/2023 10:48:09,468000,0.123
11/10/2023 10:48:09,469000,0.123
11/10/2023 10:48:09,470000,0.123
11/10/2023 10:48:09,471000,0.123
11/10/2023 10:48:09,472000,0.123
11/10/2023 10:48:09,473000,0.123
11/10/2023 10:48:09,474000,0.123
11/10/2023 10:48:09,475000,0.123
11/10/2023 10:48:09,476000,0.123
11/10/2023 10:48:09,477000,0.123
11/10/2023 10:48:09,478000,0.123
11/10/2023 10:48:09,479000,0.123
11/10/2023 10:48:09,480000,0.123
11/10/2023 10:48:09,481000,0.123
11/10/2023 10:48:09,482000,0.123
11/10/2023 10:48:09,483000,0.123
11/10/2023 10:48:09,484000,0.123
11/10/2023 10:48:09,485000,0.123
11/10/2023 10:48:09,486000,0.123
11/10/2023 10:48:09,487000,0.123
11/10/2023 10:48:09,488000,0.123
11/10/2023 10:48:09,489000,0.123
11/10/2023 10:48:09,490000,0.123
11/10/2023 10:48:09,491000,0.123
11/10/2023 10:48:09,492000,0.123
11/10/2023 10:48:09,493000,0.123
11/10/2023 10:48:09,494000,0.123
11/10/2023 10:48:09,495000,0.123
11/10/2023 10:48:09,496000,0.123
11/10/2023 10:48:09,497000,0.123
11/10/2023 10:48:09,498000,0.123
11/10/2023 10:48:09,499000,0.123
11/10/2023 10:48:09,500000,0.123
11/10/2023 10:48:09,501000,0.123
11/10/2023 10:48:09,502000,0.123
11/10/2023 10:48:09,503000,0.123
11/10/2023 10:48:09,504000,0.123
11/10/2023 10:48:09,505000,0.123
11/10/2023 10:48:09,506000,0.123
11/10/2023 10:48:09,507000,0.123
11/10/2023 10:48:09,508000,0.123
11/10/2023 10:48:09,509000,0.123
11/10/2023 10:48:09,510000,0.123
11/10/2023 10:48:09,511000,0.123
11/10/2023 10:48:09,512000,0.123
11/10/2023 10:48:09,513000,0.123
11/10/2023 10:48:09,514000,0.124
11/10/2023 10:48:09,515000,0.124
11/10/2023 10:48:09,516000,0.124
11/10/2023 10:48:09,517000,0.124
11/10/2023 10:48:09,518000,0.124
11/10/2023 10:48:09,519000,0.124
11/10/2023 10:48:09,520000,0.124
11/10/2023 10:48:09,521000,0.124
11/10/2023 10:48:09,522000,0.124
11/10/2023 10:48:09,523000,0.124
11/10/2023 10:48:09,524000,0.124
11/10/2023 10:48:09,525000,0.124
11/10/2023 10:48:09,526000,0.124
11/10/2023 10:48:09,527000,0.124
11/10/2023 10:48:09,528000,0.124
11/10/2023 10:48:09,529000,0.124
11/10/2023 10:48:09,530000,0.124
11/10/2023 10:48:09,531000,0.124
11/10/2023 10:48:09,532000,0.124
11/10/2023 10:48:09,533000,0.124
11/10/2023 10:48:09,534000,0.124
11/10/2023 10:48:09,535000,0.124
11/10/2023 10:48:09,536000,0.124
11/10/2023 10:48:09,537000,0.124
11/10/2023 10:48:09,538000,0.124
11/10/2023 10:48:09,539000,0.124
11/10/2023 10:48:09,540000,0.124
11/10/2023 10:48:09,541000,0.124
11/10/2023 10:48:09,542000,0.124
11/10/2023 10:48:09,543000,0.124
11/10/2023 10:48:09,544000,0.124
11/10/2023 10:48:09,545000,0.124
11/10/2023 10:48:09,546000,0.124
11/10/2023 10:48:09,547000,0.124
11/10/2023 10:48:09,548000,0.124
11/10/2023 10:48:09,549000,0.124
11/10/2023 10:48:09,550000,0.124
11/10/2023 10:48:09,551000,0.124
11/10/2023 10:48:09,552000,0.124
11/10/2023 10:48:09,553000,0.124
11/10/2023 10:48:09,554000,0.124
11/10/2023 10:48:09,555000,0.124
11/10/2023 10:48:09,556000,0.124
11/10/2023 10:48:09,557000,0.124
11/10/2023 10:48:09,558000,0.124
11/10/2023 10:48:09,559000,0.124
11/10/2023 10:48:09,560000,0.124
11/10/2023 10:48:09,561000,0.124
11/10/2023 10:48:09,562000,0.124
11/10/2023 10:48:09,563000,0.124
11/10/2023 10:48:09,564000,0.124
11/10/2023 10:48:09,565000,0.124
11/10/2023 10:48:09,566000,0.124
11/10/2023 10:48:09,567000,0.124
11/10/2023 10:48:09,568000,0.124
11/10/2023 10:48:09,569000,0.124
11/10/2023 10:48:09,570000,0.124
11/10/2023 10:48:09,571000,0.124
11/10/2023 10:48:09,572000,0.124
11/10/2023 10:48:09,573000,0.124
11/10/2023 10:48:09,574000,0.124
11/10/2023 10:48:09,575000,0.124
11/10/2023 10:48:09,576000,0.124
11/10/2023 10:48:09,577000,0.124
11/10/2023 10:48:09,578000,0.124
11/10/2023 10:48:09,579000,0.124
11/10/2023 10:48:09,580000,0.124
11/10/2023 10:48:09,581000,0.124
11/10/2023 10:48:09,582000,0.124
11/10/2023 10:48:09,583000,0.124
11/10/2023 10:48:09,584000,0.124
11/10/2023 10:48:09,585000,0.124
11/10/2023 10:48:09,586000,0.124
11/10/2023 10:48:09,587000,0.124
11/10/2023 10:48:09,588000,0.124
11/10/2023 10:48:09,589000,0.124
11/10/2023 10:48:09,590000,0.124
11/10/2023 10:48:09,591000,0.124
11/10/2023 10:48:09,592000,0.124
11/10/2023 10:48:09,593000,0.124
11/10/2023 10:48:09,594000,0.124
11/10/2023 10:48:09,595000,0.124
11/10/2023 10:48:09,596000,0.124
11/10/2023 10:48:09,597000,0.124
11/10/2023 10:48:09,598000,0.124
11/10/2023 10:48:09,599000,0.124
11/10/2023 10:48:09,600000,0.124
11/10/2023 10:48:09,601000,0.124
11/10/2023 10:48:09,602000,0.124
11/10/2023 10:48:09,603000,0.124
11/10/2023 10:48:09,604000,0.124
11/10/2023 10:48:09,605000,0.124
11/10/2023 10:48:09,606000,0.124
11/10/2023 10:48:09,607000,0.124
11/10/2023 10:48:09,608000,0.124
11/10/2023 10:48:09,609000,0.124
11/10/2023 10:48:09,610000,0.124
11/10/2023 10:48:09,611000,0.124
11/10/2023 10:48:09,612000,0.124
11/10/2023 10:48:09,613000,0.124
11/10/2023 10:48:09,614000,0.124
11/10/2023 10:48:09,615000,0.124
11/10/2023 10:48:09,616000,0.124
11/10/2023 10:48:09,617000,0.124
11/10/2023 10:48:09,618000,0.124
11/10/2023 10:48:09,619000,0.124
11/10/2023 10:48:09,620000,0.124
11/10/2023 10:48:09,621000,0.124
11/10/2023 10:48:09,622000,0.124
11/10/2023 10:48:09,623000,0.124
11/10/2023 10:48:09,624000,0.124
11/10/2023 10:48:09,625000,0.124
11/10/2023 10:48:09,626000,0.124
11/10/2023 10:48:09,627000,0.124
11/10/2023 10:48:09,628000,0.124
11/10/2023 10:48:09,629000,0.124
11/10/2023 10:48:09,630000,0.124
11/10/2023 10:48:09,631000,0.124
11/10/2023 10:48:09,632000,0.124
11/10/2023 10:48:09,633000,0.124
11/10/2023 10:48:09,634000,0.124
11/10/2023 10:48:09,635000,0.124
11/10/2023 10:48:09,636000,0.124
11/10/2023 10:48:09,637000,0.124
11/10/2023 10:48:09,638000,0.124
11/10/2023 10:48:09,639000,0.124
11/10/2023 10:48:09,640000,0.124
11/10/2023 10:48:09,641000,0.124
11/10/2023 10:48:09,642000,0.124
11/10/2023 10:48:09,643000,0.124
11/10/2023 10:48:09,644000,0.124
11/10/2023 10:48:09,645000,0.124
11/10/2023 10:48:09,646000,0.124
11/10/2023 10:48:09,647000,0.124
11/10/2023 10:48:09,648000,0.124
11/10/2023 10:48:09,649000,0.124
11/10/2023 10:48:09,650000,0.124
11/10/2023 10:48:09,651000,0.124
11/10/2023 10:48:09,652000,0.124
11/10/2023 10:48:09,653000,0.124
11/10/2023 10:48:09,654000,0.124
11/10/2023 10:48:09,655000,0.124
11/10/2023 10:48:09,656000,0.124
11/10/2023 10:48:09,657000,0.124
11/10/2023 10:48:09,658000,0.124
11/10/2023 10:48:09,659000,0.124
11/10/2023 10:48:09,660000,0.124
11/10/2023 10:48:09,661000,0.124
11/10/2023 10:48:09,662000,0.124
11/10/2023 10:48:09,663000,0.124
11/10/2023 10:48:09,664000,0.124
11/10/2023 10:48:09,665000,0.124
11/10/2023 10:48:09,666000,0.124
11/10/2023 10:48:09,667000,0.124
11/10/2023 10:48:09,668000,0.124
11/10/2023 10:48:09,669000,0.124
11/10/2023 10:48:09,670000,0.124
11/10/2023 10:48:09,671000,0.124
11/10/2023 10:48:09,672000,0.124
11/10/2023 10:48:09,673000,0.124
11/10/2023 10:48:09,674000,0.124
11/10/2023 10:48:09,675000,0.124
11/10/2023 10:48:09,676000,0.124
11/10/2023 10:48:09,677000,0.124
11/10/2023 10:48:09,678000,0.124
11/10/2023 10:48:09,679000,0.124
11/10/2023 10:48:09,680000,0.124
11/10/2023 10:48:09,681000,0.124
11/10/2023 10:48:09,682000,0.124
11/10/2023 10:48:09,683000,0.124
11/10/2023 10:48:09,684000,0.124
11/10/2023 10:48:09,685000,0.124
11/10/2023 10:48:09,686000,0.124
11/10/2023 10:48:09,687000,0.124
11/10/2023 10:48:09,688000,0.124
11/10/2023 10:48:09,689000,0.124
11/10/2023 10:48:09,690000,0.124
11/10/2023 10:48:09,691000,0.124
11/10/2023 10:48:09,692000,0.124
11/10/2023 10:48:09,693000,0.124
11/10/2023 10:48:09,694000,0.124
11/10/2023 10:48:09,695000,0.124
11/10/2023 10:48:09,696000,0.124
11/10/2023 10:48:09,697000,0.124
11/10/2023 10:48:09,698000,0.124
11/10/2023 10:48:09,699000,0.124
11/10/2023 10:48:09,700000,0.124
11/10/2023 10:48:09,701000,0.124
11/10/2023 10:48:09,702000,0.124
11/10/2023 10:48:09,703000,0.124
11/10/2023 10:48:09,704000,0.124
11/10/2023 10:48:09,705000,0.124
11/10/2023 10:48:09,706000,0.124
11/10/2023 10:48:09,707000,0.124
11/10/2023 10:48:09,708000,0.124
11/10/2023 10:48:09,709000,0.124
11/10/2023 10:48:09,710000,0.124
11/10/2023 10:48:09,711000,0.124
11/10/2023 10:48:09,712000,0.124
11/10/2023 10:48:09,713000,0.124
11/10/2023 10:48:09,714000,0.124
11/10/2023 10:48:09,715000,0.124
11/10/2023 10:48:09,716000,0.124
11/10/2023 10:48:09,717000,0.124
11/10/2023 10:48:09,718000,0.124
11/10/2023 10:48:09,719000,0.124
11/10/2023 10:48:09,720000,0.124
11/10/2023 10:48:09,721000,0.124
11/10/2023 10:48:09,722000,0.124
11/10/2023 10:48:09,723000,0.124
11/10/2023 10:48:09,724000,0.124
11/10/2023 10:48:09,725000,0.124
11/10/2023 10:48:09,726000,0.124
11/10/2023 10:48:09,727000,0.124
11/10/2023 10:48:09,728000,0.124
11/10/2023 10:48:09,729000,0.124
11/10/2023 10:48:09,730000,0.124
11/10/2023 10:48:09,731000,0.124
11/10/2023 10:48:09,732000,0.124
11/10/2023 10:48:09,733000,0.124
11/10/2023 10:48:09,734000,0.124
11/10/2023 10:48:09,735000,0.124
11/10/2023 10:48:09,736000,0.124
11/10/2023 10:48:09,737000,0.124
11/10/2023 10:48:09,738000,0.124
11/10/2023 10:48:09,739000,0.124
11/10/2023 10:48:09,740000,0.124
11/10/2023 10:48:09,741000,0.124
11/10/2023 10:48:09,742000,0.124
11/10/2023 10:48:09,743000,0.124
11/10/2023 10:48:09,744000,0.124
11/10/2023 10:48:09,745000,0.124
11/10/2023 10:48:09,746000,0.124
11/10/2023 10:48:09,747000,0.124
11/10/2023 10:48:09,748000,0.124
11/10/2023 10:48:09,749000,0.124
11/10/2023 10:48:09,750000,0.124
11/10/2023 10:48:09,751000,0.124
11/10/2023 10:48:09,752000,0.124
11/10/2023 10:48:09,753000,0.124
11/10/2023 10:48:09,754000,0.124
